customer_id,month,delinquency_months,amount_at_risk,paid_last_month,credit_limit,age,recovered
2,0,2,3261,2000,120000,26,1
12,0,2,13668,3640,260000,51,1
14,0,2,36894,0,70000,30,1
17,0,2,19104,0,20000,24,0
23,0,2,46012,1820,70000,26,0
59,0,2,1414,0,200000,34,0
63,0,2,28264,0,50000,29,0
66,0,2,7918,1000,200000,57,0
72,0,2,63526,1600,320000,29,0
90,0,2,11970,1500,20000,44,1
91,0,2,149531,5000,200000,53,0
113,0,3,149415,5000,280000,41,0
116,0,2,21201,1000,30000,24,0
121,0,2,51143,0,50000,37,0
136,0,2,13891,327,240000,34,0
146,0,3,10138,0,50000,28,1
159,0,6,154105,10478,210000,45,0
162,0,2,540,390,50000,27,1
169,0,2,88290,0,90000,35,1
176,0,3,71345,0,130000,56,0
178,0,2,22361,2000,50000,30,1
188,0,2,189915,6836,200000,47,0
190,0,2,20487,0,20000,31,0
196,0,2,40035,0,50000,24,0
202,0,2,10833,2500,140000,31,1
216,0,2,780,0,30000,42,1
234,0,2,150052,2769,190000,34,0
245,0,2,79,60,30000,40,0
267,0,2,9411,175,10000,23,1
293,0,2,2566,0,30000,43,0
309,0,4,14514,1500,30000,55,0
330,0,2,109428,4200,150000,40,0
343,0,2,24248,1000,200000,29,1
355,0,2,18856,638,50000,58,1
373,0,2,48767,2000,90000,34,0
377,0,2,24242,1000,30000,43,1
388,0,2,75018,5100,80000,73,0
400,0,2,117167,4400,120000,25,0
403,0,2,822,472,150000,41,1
405,0,2,153800,5654,160000,29,0
411,0,2,32965,1200,60000,23,0
418,0,2,18990,1000,50000,30,1
421,0,2,29371,1800,30000,24,1
436,0,2,221413,0,270000,32,0
442,0,2,89522,3200,100000,32,0
457,0,2,75820,6000,130000,39,0
474,0,2,35002,0,60000,38,1
481,0,2,919,67619,250000,40,1
482,0,2,130271,5400,140000,26,0
483,0,2,4162,0,70000,28,1
484,0,2,59378,4086,90000,48,0
501,0,2,24576,1200,30000,38,0
502,0,2,30548,2000,90000,35,0
508,0,2,34661,2000,180000,28,1
509,0,2,5515,500,80000,30,1
511,0,2,390,780,130000,31,1
514,0,2,33081,1500,50000,23,0
527,0,2,20241,300,20000,27,1
534,0,2,62524,2500,100000,50,0
540,0,2,101213,3800,110000,40,0
558,0,2,83206,3000,110000,32,0
565,0,2,2698,3,390000,45,0
586,0,2,17618,800,20000,25,1
604,0,2,29930,3000,140000,28,1
606,0,2,24549,1030,50000,34,0
615,0,2,125478,5000,190000,37,0
632,0,2,33138,2000,50000,23,1
649,0,2,195874,15000,280000,44,0
650,0,3,18148,0,20000,46,0
665,0,2,30456,0,40000,32,0
667,0,2,59480,2258,70000,27,1
669,0,2,101492,0,100000,35,0
671,0,2,36904,3095,30000,34,0
674,0,6,1800,0,30000,25,0
676,0,2,28306,1300,90000,42,0
677,0,2,169928,7000,190000,40,0
694,0,2,59329,2500,70000,30,1
705,0,2,26357,2500,30000,22,0
708,0,2,14673,0,30000,46,0
725,0,2,31401,0,80000,34,0
730,0,2,1023,0,60000,29,0
750,0,3,34365,3000,50000,25,0
761,0,2,18711,900,50000,52,1
780,0,2,32851,2420,50000,31,1
783,0,2,87096,3280,100000,28,0
808,0,2,19953,0,20000,36,0
809,0,2,35171,1400,190000,26,1
815,0,2,72215,0,120000,33,0
818,0,2,6204,4739,20000,24,1
827,0,2,28607,1000,50000,24,1
828,0,2,5923,0,10000,37,0
832,0,3,21162,0,20000,24,0
837,0,2,25476,0,80000,23,0
851,0,6,44059,0,40000,23,0
857,0,2,34487,0,40000,29,0
858,0,2,53176,4500,100000,43,0
863,0,7,2450,0,30000,52,0
876,0,2,29818,1000,30000,25,1
880,0,2,18844,1000,20000,43,1
889,0,2,14422,102,90000,24,1
897,0,2,101577,0,110000,55,0
898,0,2,145012,5656,170000,28,0
905,0,2,63293,2000,80000,40,0
906,0,2,29086,1576,30000,27,1
907,0,2,2699,0,50000,30,0
934,0,2,12566,1000,30000,32,0
941,0,2,19630,1000,50000,25,1
944,0,3,300,0,80000,24,0
956,0,2,19939,0,160000,41,0
982,0,3,30558,0,30000,29,0
989,0,2,279503,126685,360000,25,0
997,0,2,46383,1495,140000,45,0
1011,0,2,132964,5000,280000,31,1
1026,0,2,129870,1300,180000,38,1
1030,0,2,26855,2302,30000,67,0
1036,0,2,49764,2000,60000,27,0
1045,0,2,19994,2658,20000,22,0
1082,0,2,10091,0,10000,32,0
1083,0,2,37131,1700,60000,30,0
1084,0,2,49502,1600,50000,25,0
1122,0,2,1735,0,20000,30,0
1130,0,2,48789,1885,50000,23,0
1133,0,4,278436,0,270000,44,0
1134,0,2,34420,1000,50000,36,1
1139,0,2,81977,2300,130000,44,1
1142,0,2,19239,323,30000,25,1
1147,0,7,2400,0,70000,31,0
1153,0,2,55176,2200,180000,42,0
1155,0,2,9537,0,20000,47,1
1207,0,2,25709,1100,70000,49,0
1233,0,2,50424,0,50000,47,0
1247,0,3,86299,3100,170000,39,0
1250,0,7,2400,0,350000,52,0
1269,0,2,19143,1600,120000,37,1
1295,0,2,977,19480,300000,41,1
1315,0,2,4822,1000,50000,37,1
1328,0,2,8820,0,180000,25,0
1337,0,2,46384,3700,70000,26,0
1365,0,2,19629,0,120000,46,0
1366,0,2,20718,0,20000,47,1
1373,0,3,350,0,270000,42,0
1376,0,2,6832,0,30000,50,1
1380,0,2,80138,8,80000,26,0
1381,0,2,58700,2200,60000,31,0
1390,0,2,16259,700,20000,22,1
1391,0,2,32232,2300,60000,37,0
1397,0,2,102460,0,180000,24,0
1400,0,2,7737,100,50000,23,1
1418,0,3,1204,0,80000,29,0
1429,0,2,83366,4300,210000,37,0
1432,0,2,55797,2100,70000,42,0
1433,0,2,182160,0,230000,32,0
1436,0,2,36196,1511,100000,31,0
1441,0,2,54366,2300,70000,24,0
1445,0,3,32194,0,40000,24,1
1446,0,2,73444,5300,80000,25,0
1454,0,2,17524,0,20000,25,0
1456,0,2,19947,545,20000,32,1
1461,0,3,1050,0,50000,37,0
1462,0,2,30486,1500,120000,36,1
1486,0,6,1800,0,20000,44,0
1490,0,2,14528,0,50000,29,0
1517,0,2,44305,0,50000,25,1
1518,0,2,191895,9500,190000,49,0
1519,0,2,278260,0,290000,27,0
1522,0,2,10055,0,60000,40,0
1524,0,2,30603,0,30000,27,0
1526,0,2,14518,200,20000,35,0
1533,0,3,20474,0,20000,25,0
1559,0,2,41269,1704,50000,31,0
1572,0,2,13502,1000,150000,33,1
1576,0,2,86850,3000,230000,25,1
1621,0,2,1559,3192,30000,26,1
1629,0,2,95234,0,140000,31,0
1645,0,2,41324,0,50000,72,0
1647,0,2,41926,5000,50000,27,0
1667,0,2,53784,2000,90000,36,0
1668,0,2,19652,1339,200000,42,0
1670,0,2,17371,0,20000,40,0
1699,0,2,930,601,80000,25,1
1703,0,2,19339,5000,150000,30,1
1707,0,2,120937,4500,230000,35,0
1713,0,2,178651,0,180000,33,1
1722,0,2,67882,2500,90000,27,0
1744,0,2,1480,58,90000,32,1
1752,0,3,1050,0,10000,38,0
1765,0,2,23155,2000,130000,26,0
1774,0,2,8593,1000,50000,25,1
1776,0,2,18023,1600,80000,37,0
1785,0,2,45933,5000,400000,34,1
1787,0,2,26905,0,40000,25,0
1816,0,2,30423,70,80000,23,0
1836,0,2,17581,3000,50000,37,0
1840,0,2,155041,0,160000,51,0
1860,0,2,39585,1600,50000,39,0
1862,0,2,6815,700,10000,35,0
1869,0,2,51063,0,160000,41,1
1870,0,2,37288,1500,40000,23,0
1873,0,2,82168,10000,130000,32,1
1880,0,2,18252,0,30000,47,0
1889,0,2,89347,3300,90000,32,0
1895,0,8,103522,0,100000,30,0
1909,0,2,24951,0,30000,36,0
1921,0,2,780,0,100000,51,0
1932,0,2,240,780,20000,24,0
1937,0,2,650,0,20000,24,0
1945,0,2,87005,5264,220000,34,1
1956,0,2,10104,198,10000,41,0
1957,0,2,2500,0,220000,42,0
1982,0,2,43471,2000,80000,40,0
1989,0,2,97612,3600,140000,34,0
1993,0,6,527711,215,580000,67,0
1998,0,2,15650,14,40000,59,1
2008,0,2,745,11271,340000,49,1
2011,0,2,35515,1500,40000,26,0
2013,0,3,21236,0,20000,40,1
2017,0,2,7191,0,20000,22,0
2046,0,2,64492,2300,110000,26,0
2047,0,2,5346,0,30000,40,0
2050,0,2,49453,2000,210000,40,1
2051,0,2,17295,0,30000,47,0
2052,0,2,49062,4000,50000,27,0
2054,0,2,139314,5300,140000,37,0
2076,0,2,150,819,180000,27,1
2080,0,2,13861,0,230000,43,0
2087,0,2,65762,7195,110000,36,0
2090,0,2,86252,3100,90000,41,0
2091,0,2,686,4389,250000,42,1
2102,0,2,61656,2400,140000,35,0
2103,0,2,4171,900,10000,53,0
2106,0,2,17564,0,20000,23,0
2109,0,2,61670,2213,160000,49,0
2115,0,2,14724,0,70000,44,0
2119,0,2,20407,0,20000,39,0
2128,0,2,20372,1000,100000,31,1
2131,0,3,115826,8337,140000,57,0
2135,0,2,74490,2800,160000,66,0
2145,0,3,6435,0,20000,27,0
2156,0,2,109276,0,110000,29,0
2168,0,2,195226,5,400000,49,0
2204,0,2,48373,0,60000,30,0
2208,0,2,17312,7000,120000,32,1
2219,0,2,9533,400,50000,58,0
2234,0,2,84384,3228,120000,50,1
2251,0,2,97230,3600,170000,30,1
2252,0,2,5606,2000,50000,36,1
2257,0,2,16562,0,30000,25,0
2270,0,2,49565,2500,70000,24,0
2292,0,2,400,0,90000,35,1
2293,0,3,74788,0,80000,43,0
2303,0,2,56637,13,60000,29,0
2322,0,3,1737,0,30000,39,1
2325,0,2,148704,3054,200000,39,0
2363,0,3,21200,0,20000,24,0
2375,0,2,39035,0,50000,25,0
2376,0,2,40404,0,40000,38,0
2379,0,2,18750,1500,60000,30,0
2390,0,2,19345,1000,150000,39,1
2391,0,2,978,2690,180000,29,1
2393,0,2,44960,0,50000,32,0
2397,0,2,47539,5224,200000,29,0
2403,0,2,70582,0,80000,29,0
2406,0,7,2400,0,50000,43,0
2419,0,2,2771,0,20000,33,1
2421,0,2,2508,326,180000,35,1
2422,0,2,16320,2000,20000,24,0
2428,0,2,29053,2400,50000,33,1
2435,0,2,75011,0,120000,25,0
2438,0,2,30383,0,30000,24,0
2448,0,2,45994,2000,50000,41,0
2458,0,2,10837,2000,30000,44,0
2459,0,2,31794,1178,80000,25,0
2462,0,2,29365,600,30000,26,0
