customer_id,transaction_id,month_index,months_late,amount_twd,amount_usd,credit_limit_twd,paid_that_month_twd,age,education,marriage,prior_late_months,prior_observations,recovered,utilisation,payment_ratio,paid_anything,prior_late_rate,failure_code,currency,amount
uci_2,txn_uci_2_apr,0,2,3261,101.09,120000,2000,26,2,2,0,0,1,0.027175,0.613308800981294,1,0.0,insufficient_funds,TWD,3261
uci_12,txn_uci_12_apr,0,2,13668,423.71,260000,3640,51,1,2,0,0,1,0.05256923076923077,0.2663154814164472,1,0.0,insufficient_funds,TWD,13668
uci_14,txn_uci_14_apr,0,2,36894,1143.71,70000,0,30,2,2,0,0,1,0.5270571428571429,0.0,0,0.0,insufficient_funds,TWD,36894
uci_17,txn_uci_17_apr,0,2,19104,592.22,20000,0,24,1,2,0,0,0,0.9552,0.0,0,0.0,insufficient_funds,TWD,19104
uci_23,txn_uci_23_apr,0,2,46012,1426.37,70000,1820,26,2,2,0,0,0,0.6573142857142857,0.039554898722072504,1,0.0,insufficient_funds,TWD,46012
uci_59,txn_uci_59_apr,0,2,1414,43.83,200000,0,34,1,2,0,0,0,0.00707,0.0,0,0.0,insufficient_funds,TWD,1414
uci_63,txn_uci_63_apr,0,2,28264,876.18,50000,0,29,1,2,0,0,0,0.56528,0.0,0,0.0,insufficient_funds,TWD,28264
uci_66,txn_uci_66_apr,0,2,7918,245.46,200000,1000,57,1,1,0,0,0,0.03959,0.1262945188178833,1,0.0,insufficient_funds,TWD,7918
uci_72,txn_uci_72_apr,0,2,63526,1969.31,320000,1600,29,2,2,0,0,0,0.19851875,0.02518653779554828,1,0.0,insufficient_funds,TWD,63526
uci_90,txn_uci_90_apr,0,2,11970,371.07,20000,1500,44,3,2,0,0,1,0.5985,0.12531328320802004,1,0.0,insufficient_funds,TWD,11970
uci_91,txn_uci_91_apr,0,2,149531,4635.46,200000,5000,53,1,1,0,0,0,0.747655,0.03343788244578047,1,0.0,insufficient_funds,TWD,149531
uci_113,txn_uci_113_apr,0,3,149415,4631.86,280000,5000,41,2,1,0,0,0,0.533625,0.033463842318374994,1,0.0,multiple_declines,TWD,149415
uci_116,txn_uci_116_apr,0,2,21201,657.23,30000,1000,24,1,2,0,0,0,0.7067,0.04716758643460214,1,0.0,insufficient_funds,TWD,21201
